Capítulo,Subcapítulo,Código Partida,Unidad,Título Partida,Descripción Partida,Unidades,Precio,Total
C01,C08.02,U04BH085,M,BORD.HORM. BICAPA GRIS 9-12x25 cm,"Bordillo de hormigón bicapa, de color gris, achaflanado, de 9 y 12 cm de bases superior e inferior y 25 cm de altura, colocado sobre solera de hormigón HM-20/P/20/I, de 10 cm de espesor, rejuntado y limpieza, sin incluir la excavación previa ni el relleno posterior.",540.0,17.5,9450.0
C01,C08.02,E04SM090,m²,"SOLER.HM-20, 10cm.+ENCACH.10cm","Solera de hormigón en masa de 10 cm. de espesor, realizada con hormigón HM-20 N/mm2, Tmáx.20 mm., elaborado en obra, i/encachado de piedra caliza 40/80 mm. de 10 cm. de espesor, vertido, colocación, p.p. de juntas, aserrado de las mismas y fratasado. Según NTE-RSS y EHE.",810.0,14.24,11534.4
C01,C08.02,U04VQ020,m²,PAVIMENTO ADOQUÍN HORMIGÓN RECTO COLOR 20x10x8,"Pavimento de adoquín prefabricado de hormigón bicapa en colores suaves tostados, de forma rectangular de 20x10x8 cm, colocado sobre cama de arena de río, rasanteada, de 3/4 cm de espesor, dejando entre ellos una junta de separación de 2/3 mm para su posterior relleno con arena caliza de machaqueo, i/recebado de juntas, barrido y compactación, a colocar sobre base firme existente, no incluido en el precio, compactada al 100% del ensayo proctor.",810.0,25.42,20590.2
C01,C08.02,E04SE030,m³,HORMIGÓN HM-20/P/20/I EN SOLERA,"Hormigón HM-20 N/mm2, consistencia plástica, Tmáx.20 mm., para ambiente normal, elaborado en central en solera, incluso vertido, compactado según EHE, p.p. de vibrado, regleado y curado en soleras.",14.36,91.0,1306.76
C01,C08.02,REC POZ,Ud,PUESTA EN RASANTE DE POZO O ARQUETA,"Puesta en rasante de pozo de registro o arqueta para adaptarlo a la nueva rasante de la calzada o del acerado, incluso retirada de losa de hormgon existente, y preparación de cono para colocacion de cerco y tapa de fundición.",18.0,145.51,2619.18
C01,C08.02,CANLELEC01,Ud,CANALIZACION ALUMBRADO PUBLICO,"Canalizacion bajo acera para alumbrado publico formada por tubo de PVC de 63 mm de diametro, en montaje enterrado, incluso excavacion y relleno, cinta de señalización, y retirada de materiales sobrantes a vertedero. 8 de mayo de 2024 Página 3 PRESUPUESTO DAÑOS DANA SEPT. 2023, URB. CALYPO FADO DE CASARRUBIOS DEL MONT",274.0,9.44,2586.56
C01,C08.02,U09BCP080,M,". LÍNEA ALUMB.P.4(1x6) 0,6/1kV Cu. S/EXC.","Línea de alimentación para alumbrado público formada por conductores de cobre 4(1x6) mm2 con aislamiento tipo RV-0,6/1 kV, canalizados bajo tubo de PVC, con elementos de conexión, instalada, transporte, montaje y conexionado.",274.0,5.04,1380.96
C01,C08.02,CABLE16,M,CONDUCTOR CuVV750A/V1x16,"Conductor de cobre A/V 1x16mm2, VV07V, en cualquier tipo de montaje, incluso pequeño material y accesorios, totalmente instalado, conexionado y funcionando",274.0,3.05,835.7
C01,C08.02,U10CC030,Ud,COLUMNA 6 m.,,0.0,0.0,0.0
C01,C08.02,Columna de 6,M,". de altura, compuesta por los siguientes elementos: columna troncocónica de chapa","de acero galvanizado de 3mm de espesor tipo EUROPEO o similar, provista de caja de conexión y protección, pica de tierra, arqueta de paso y derivación de 0,40 cm. de ancho, 0,40 de largo y 0,60 cm. de profundidad, provista de cerco y tapa de hierro fundido, cimentación realizada con hormigón de HM-20 de dosificación y pernos de anclaje, montado y conexionado.",0.0,471.4,0.0
C01,C08.02,U10VP100,Ud,LUMINARIA ANDROMEDA II VSAP 70W.,"Luminaria para alumbrado viario, tipo ANDROMEDA II o similar,cerrada, con carcasa de poliéster reforzado con fibra de vidrio en color gris con protección IMC, protección IP 66, Clase II. Con lámpara de vapor de sodio de alta presión de 70W. Instalada, incluido montaje y conexionado.",0.0,163.35,0.0
C01,C08.02,RETIRADA001,Ud,RETIRADA DE FAROLA EXISTENTE,Desconexion y retirada de farola existente incluso transporte a acopio.,9.0,26.36,237.24
C01,C08.02,U11SAM020,Ud,CIMENTACIÓN P/COLUMNA 3 a 7 m. Y COLOCACION FAROLA,"Cimentación para columna de altura entre 3 a 7 m., con dimensiones 80x80x120 cm., en hormigón HA-25/P/40/IIa, i/excavación necesaria, pernos de anclaje de 30 cm. de longitud y codo de PVC 90º de 100 mm. de diámetro, incluso recolocacion de farola existente y toma de tierra donde sea necesaria.",9.0,149.14,1342.26
C01,C08.02,PY10AA012a,Ud,TALADO Y DESTOCONADO DE ARBOL <30 CM DE DIÁMETRO,"Destoconado de árbol de menos de 30 cm de diámetro, con medios mecánicos, incluso extracción de raíces, acopio, relleno y compactación del hueco con tierras propias, carga de residuos resultantes y parte proporcional de medios auxiliares, completamente ejecutado.",0.0,81.4,0.0
C01,C08.02,GR0001,m³,CARGA/TRAN.VERT.<30km.MAQ/CAM.ESC.,"Carga y transporte de escombros vertedero autorizado por transportista autorizado (por la Consejería de Medio Ambiente de la comunidad autónoma correspondiente), a una distancia menor de 30 km., considerando ida y vuelta, en camiones basculantes de hasta 15 t. de peso, cargados con pala cargadora media, incluso canon de vertedero, sin medidas de protección colectivas. (Real Decreto 1481/2001, de 27 de diciembre)",236.25,16.92,3997.35
C01,C08.03,DEM06,m,CORTE PAVIMENTO EXISTENTE,"Corte de pavimento de aglomerado asfáltico u hormigón, con cortadora de disco diamante, en calzadas, i/replanteo y p.p. de medios auxiliares.",649.0,1.12,726.88
C01,C08.03,U01AB100,M,DEMOLICIÓN Y LEVANTADO DE BORDILLO AISLADO,"Demolición y levantado de bordillo de cualquier tipo en tramos aislados de menos de 10 m de longitud, para reparaciones puntuales.",649.0,5.4,3504.6
C01,C08.03,U01AB010,m²,DEMOLICIÓN Y LEVANTADO DE ACERAS,"Demolición, levantado de aceras, excavacin en caja, siendo los acerados de hormigón, de loseta hidráulica o similar, perfilado y compactación de caja, incluso protección de arquetas de servicios, carga y transporte de material resultante a acopio.",973.5,7.85,7641.98
C01,C08.03,DEM01,m²,LEVANTADO A MAQUINA FIRME HORMIGON HASTA 20 CM,"Levantado por medios mecánicos de firme de hormigón hidráulico, espesor 20 cm., incluso p.p. de corte longitudinal de junta con sierra de disco, retirada, carga de productos y transporte a vertedero",0.0,5.92,0.0
C01,C08.03,U01EZ010,m³,EXCAV. ZANJA TIERRA,"Excavación en zanja en tierra, incluso carga y transporte de los productos de la excavación a vertedero o lugar de empleo.",0.0,9.5,0.0
C01,C08.03,U04BH085,M,BORD.HORM. BICAPA GRIS 9-12x25 cm,"Bordillo de hormigón bicapa, de color gris, achaflanado, de 9 y 12 cm de bases superior e inferior y 25 cm de altura, colocado sobre solera de hormigón HM-20/P/20/I, de 10 cm de espesor, rejuntado y limpieza, sin incluir la excavación previa ni el relleno posterior.",649.0,17.5,11357.5
C01,C08.03,E04SM090,m²,"SOLER.HM-20, 10cm.+ENCACH.10cm","Solera de hormigón en masa de 10 cm. de espesor, realizada con hormigón HM-20 N/mm2, Tmáx.20 mm., elaborado en obra, i/encachado de piedra caliza 40/80 mm. de 10 cm. de espesor, vertido, colocación, p.p. de juntas, aserrado de las mismas y fratasado. Según NTE-RSS y EHE.",973.5,14.24,13862.64
C01,C08.03,U04VQ020,m²,PAVIMENTO ADOQUÍN HORMIGÓN RECTO COLOR 20x10x8,"Pavimento de adoquín prefabricado de hormigón bicapa en colores suaves tostados, de forma rectangular de 20x10x8 cm, colocado sobre cama de arena de río, rasanteada, de 3/4 cm de espesor, dejando entre ellos una junta de separación de 2/3 mm para su posterior relleno con arena caliza de machaqueo, i/recebado de juntas, barrido y compactación, a colocar sobre base firme existente, no incluido en el precio, compactada al 100% del ensayo proctor.",973.5,25.42,24746.37
C01,C08.03,E04SE030,m³,HORMIGÓN HM-20/P/20/I EN SOLERA,"Hormigón HM-20 N/mm2, consistencia plástica, Tmáx.20 mm., para ambiente normal, elaborado en central en solera, incluso vertido, compactado según EHE, p.p. de vibrado, regleado y curado en soleras.",19.47,91.0,1771.77
C01,C08.03,REC POZ,Ud,PUESTA EN RASANTE DE POZO O ARQUETA,"Puesta en rasante de pozo de registro o arqueta para adaptarlo a la nueva rasante de la calzada o del acerado, incluso retirada de losa de hormgon existente, y preparación de cono para colocacion de cerco y tapa de fundición.",20.0,145.51,2910.2
C01,C08.03,CANLELEC01,Ud,CANALIZACION ALUMBRADO PUBLICO,"Canalizacion bajo acera para alumbrado publico formada por tubo de PVC de 63 mm de diametro, en montaje enterrado, incluso excavacion y relleno, cinta de señalización, y retirada de materiales sobrantes a vertedero. 8 de mayo de 2024 Página 5 PRESUPUESTO DAÑOS DANA SEPT. 2023, URB. CALYPO FADO DE CASARRUBIOS DEL MONT",327.0,9.44,3086.88
C01,C08.03,U09BCP080,M,". LÍNEA ALUMB.P.4(1x6) 0,6/1kV Cu. S/EXC.","Línea de alimentación para alumbrado público formada por conductores de cobre 4(1x6) mm2 con aislamiento tipo RV-0,6/1 kV, canalizados bajo tubo de PVC, con elementos de conexión, instalada, transporte, montaje y conexionado.",327.0,5.04,1648.08
C01,C08.03,CABLE16,M,CONDUCTOR CuVV750A/V1x16,"Conductor de cobre A/V 1x16mm2, VV07V, en cualquier tipo de montaje, incluso pequeño material y accesorios, totalmente instalado, conexionado y funcionando",327.0,3.05,997.35
C01,C08.03,U10CC030,Ud,COLUMNA 6 m.,,0.0,0.0,0.0
C01,C08.03,Columna de 6,M,". de altura, compuesta por los siguientes elementos: columna troncocónica de chapa","de acero galvanizado de 3mm de espesor tipo EUROPEO o similar, provista de caja de conexión y protección, pica de tierra, arqueta de paso y derivación de 0,40 cm. de ancho, 0,40 de largo y 0,60 cm. de profundidad, provista de cerco y tapa de hierro fundido, cimentación realizada con hormigón de HM-20 de dosificación y pernos de anclaje, montado y conexionado.",0.0,471.4,0.0
C01,C08.03,U10VP100,Ud,LUMINARIA ANDROMEDA II VSAP 70W.,"Luminaria para alumbrado viario, tipo ANDROMEDA II o similar,cerrada, con carcasa de poliéster reforzado con fibra de vidrio en color gris con protección IMC, protección IP 66, Clase II. Con lámpara de vapor de sodio de alta presión de 70W. Instalada, incluido montaje y conexionado.",0.0,163.35,0.0
C01,C08.03,RETIRADA001,Ud,RETIRADA DE FAROLA EXISTENTE,Desconexion y retirada de farola existente incluso transporte a acopio.,8.0,26.36,210.88
C01,C08.03,U11SAM020,Ud,CIMENTACIÓN P/COLUMNA 3 a 7 m. Y COLOCACION FAROLA,"Cimentación para columna de altura entre 3 a 7 m., con dimensiones 80x80x120 cm., en hormigón HA-25/P/40/IIa, i/excavación necesaria, pernos de anclaje de 30 cm. de longitud y codo de PVC 90º de 100 mm. de diámetro, incluso recolocacion de farola existente y toma de tierra donde sea necesaria.",8.0,149.14,1193.12
C01,C08.03,PY10AA012a,Ud,TALADO Y DESTOCONADO DE ARBOL <30 CM DE DIÁMETRO,"Destoconado de árbol de menos de 30 cm de diámetro, con medios mecánicos, incluso extracción de raíces, acopio, relleno y compactación del hueco con tierras propias, carga de residuos resultantes y parte proporcional de medios auxiliares, completamente ejecutado.",0.0,81.4,0.0
C01,C08.03,GR0001,m³,CARGA/TRAN.VERT.<30km.MAQ/CAM.ESC.,"Carga y transporte de escombros vertedero autorizado por transportista autorizado (por la Consejería de Medio Ambiente de la comunidad autónoma correspondiente), a una distancia menor de 30 km., considerando ida y vuelta, en camiones basculantes de hasta 15 t. de peso, cargados con pala cargadora media, incluso canon de vertedero, sin medidas de protección colectivas. (Real Decreto 1481/2001, de 27 de diciembre)",283.94,16.92,4804.26
C01,C08.04,DEM06,m,CORTE PAVIMENTO EXISTENTE,"Corte de pavimento de aglomerado asfáltico u hormigón, con cortadora de disco diamante, en calzadas, i/replanteo y p.p. de medios auxiliares.",1522.0,1.12,1704.64
C01,C08.04,U04BH085,M,BORD.HORM. BICAPA GRIS 9-12x25 cm,"Bordillo de hormigón bicapa, de color gris, achaflanado, de 9 y 12 cm de bases superior e inferior y 25 cm de altura, colocado sobre solera de hormigón HM-20/P/20/I, de 10 cm de espesor, rejuntado y limpieza, sin incluir la excavación previa ni el relleno posterior.",1522.0,17.5,26635.0
C01,C08.04,E04SM090,m²,"SOLER.HM-20, 10cm.+ENCACH.10cm","Solera de hormigón en masa de 10 cm. de espesor, realizada con hormigón HM-20 N/mm2, Tmáx.20 mm., elaborado en obra, i/encachado de piedra caliza 40/80 mm. de 10 cm. de espesor, vertido, colocación, p.p. de juntas, aserrado de las mismas y fratasado. Según NTE-RSS y EHE.",2357.0,14.24,33563.68
C01,C08.04,U04VQ020,m²,PAVIMENTO ADOQUÍN HORMIGÓN RECTO COLOR 20x10x8,"Pavimento de adoquín prefabricado de hormigón bicapa en colores suaves tostados, de forma rectangular de 20x10x8 cm, colocado sobre cama de arena de río, rasanteada, de 3/4 cm de espesor, dejando entre ellos una junta de separación de 2/3 mm para su posterior relleno con arena caliza de machaqueo, i/recebado de juntas, barrido y compactación, a colocar sobre base firme existente, no incluido en el precio, compactada al 100% del ensayo proctor.",2357.0,25.42,59914.94
C01,C08.04,E04SE030,m³,HORMIGÓN HM-20/P/20/I EN SOLERA,"Hormigón HM-20 N/mm2, consistencia plástica, Tmáx.20 mm., para ambiente normal, elaborado en central en solera, incluso vertido, compactado según EHE, p.p. de vibrado, regleado y curado en soleras.",45.66,91.0,4155.06
C01,C08.04,REC POZ,Ud,PUESTA EN RASANTE DE POZO O ARQUETA,"Puesta en rasante de pozo de registro o arqueta para adaptarlo a la nueva rasante de la calzada o del acerado, incluso retirada de losa de hormgon existente, y preparación de cono para colocacion de cerco y tapa de fundición.",30.0,145.51,4365.3
C01,C08.04,CANLELEC01,Ud,CANALIZACION ALUMBRADO PUBLICO,"Canalizacion bajo acera para alumbrado publico formada por tubo de PVC de 63 mm de diametro, en montaje enterrado, incluso excavacion y relleno, cinta de señalización, y retirada de materiales sobrantes a vertedero.",740.0,9.44,6985.6
